# m1 m2 DL Tc iota phic psi thetaS phiS logL logPrior
2.335783517547514842e+36 8.468835966456942486e+35 3.073705647343270486e+26 3.601200406475768238e+07 2.961408113791536234e+00 4.794063315712813633e+00 1.986674071303898836e+00 2.218847526588702657e+00 1.430207920901719332e+00 -1.997159529926656370e-38 0.000000000000000000e+00
3.274258410594738620e+36 9.799194402028179361e+35 3.340011044640860858e+26 3.617777302641033381e+07 2.122270228637374689e+00 2.999866256897533390e+00 2.322162997567958076e+00 1.697702747887415153e+00 2.479549330600471002e+00 -1.957571983978037698e-38 0.000000000000000000e+00
3.787044618753798923e+36 8.103664143246623866e+35 3.329606350530600953e+26 3.340934390459908918e+07 7.394804795815880238e-01 1.254302890108313084e+00 6.078244822036870110e-01 1.977302168627983692e+00 2.903353797212573806e+00 -1.946117040729961888e-38 0.000000000000000000e+00
3.031089247586785991e+36 9.884262756966131778e+35 2.851233113512852439e+26 3.572960505633246154e+07 2.509396185614652719e+00 4.552009679036709500e+00 1.818458635225655096e+00 2.664871730822386819e+00 2.878569683945809921e+00 -1.943304741611190905e-38 0.000000000000000000e+00
3.853389752010882145e+36 5.503563992602756821e+35 3.010851934715853028e+26 3.703061968795657903e+07 6.096663141346509995e-01 2.302041015202991314e+00 1.026752238173861409e+00 1.195966732578463532e+00 2.356735891263877392e+00 -1.923858957618998593e-38 0.000000000000000000e+00
2.830804637965252514e+36 9.167051152974605938e+35 3.072707173024596857e+26 3.482512011591178924e+07 2.198912904187528383e+00 5.631468158918524480e+00 2.305705300858212681e+00 1.161947316011781250e+00 1.489908053284892064e+00 -1.909291695328354426e-38 0.000000000000000000e+00
3.962220045966526139e+36 8.995826019984757031e+35 3.649383345905804443e+26 3.466561562247115374e+07 3.118105524978285636e+00 1.804182530123857431e+00 1.420749685724359113e+00 2.238308865678290793e+00 1.155997333062183330e+00 -1.908811986768049301e-38 0.000000000000000000e+00
2.866774452129672926e+36 6.114205108969466176e+35 2.949712624261515702e+26 3.258028466184245050e+07 2.489802361301188149e+00 1.994449465203809169e+00 1.371020481729774865e+00 1.050664463577898333e+00 4.772879148259207227e+00 -1.908371599634541902e-38 0.000000000000000000e+00
3.913634946670578926e+36 9.105391121502167436e+35 3.279884775122242648e+26 3.366791401112081856e+07 7.360344224432855409e-01 1.513578292364716305e+00 9.389295403010617935e-01 1.915022070744291760e+00 2.910534228714701577e+00 -1.893100267366560278e-38 0.000000000000000000e+00
3.750371168215332526e+36 5.728818918735030364e+35 3.335838892920430328e+26 3.254703942636109516e+07 3.132823050923660979e+00 2.053749251720254687e+00 3.063859163622255188e+00 1.954189371256854546e+00 1.961458208835895833e+00 -1.889339898938913735e-38 0.000000000000000000e+00
3.112990202064133564e+36 3.570996584412799834e+35 2.921882494292818397e+26 3.456316537526772916e+07 3.100439033721581250e+00 5.753747522642314038e-01 2.746104357685226649e+00 1.672821026713649184e+00 5.123938597613483914e+00 -1.883430692529354277e-38 0.000000000000000000e+00
3.241676039406123224e+36 7.105318998968689136e+35 3.021447937902905324e+26 3.633814322535099834e+07 2.474736990618125354e+00 2.459217576239763225e+00 5.902534810142308075e-01 9.411964657930017575e-01 2.239930984781388190e+00 -1.880635984579838356e-38 0.000000000000000000e+00
3.656124838876530990e+36 9.008778038353680698e+35 3.286681263702517292e+26 2.977991489807704091e+07 1.532455769285247515e-01 4.744684155919598467e-01 1.451974250514310061e+00 7.660422447808906687e-01 1.243104237579611748e+00 -1.876753681426048325e-38 0.000000000000000000e+00
3.088803577368465932e+36 6.514935608798365951e+35 3.137342344962057272e+26 3.270048089640531689e+07 2.824671142609509022e+00 5.735232252924846730e-01 1.148740517745236556e+00 2.421825940929884791e+00 5.446104130270648547e+00 -1.867798128520510807e-38 0.000000000000000000e+00
3.220098599456216706e+36 7.616158490977465855e+35 3.307361469709551861e+26 3.578230093058758974e+07 3.015518967315027776e+00 5.919141658263844974e+00 1.525154376037231252e+00 1.735166651851522968e+00 4.214898698338741312e+00 -1.867446566190758653e-38 0.000000000000000000e+00
2.446686912654849114e+36 4.001662964823347806e+35 2.793785643143787127e+26 2.978494441670319438e+07 4.787068937751159936e-03 7.220905918521000055e-01 1.575103228342932704e+00 2.190548923135496207e+00 1.675640358901348881e+00 -1.850098061725719803e-38 0.000000000000000000e+00
3.540763589195573663e+36 5.631573051966177313e+35 3.112666327781615684e+26 3.108130897096572816e+07 2.856894776212040465e+00 1.246544476409097157e-01 9.227263503883169626e-01 1.566967736421838842e+00 4.437613050591936670e+00 -1.835783862521968062e-38 0.000000000000000000e+00
2.956874751189659743e+36 8.140315164460773736e+35 3.081495821294035901e+26 3.376718309852544963e+07 2.848898550253498030e-01 6.051032038748460629e-01 2.695302025723749217e+00 1.292746392494186214e+00 1.211398595525457589e+00 -1.828185298102625421e-38 0.000000000000000000e+00
3.836177318287581094e+36 8.853885490285934731e+35 2.861665075069456555e+26 2.932254190371628851e+07 2.528779979718274618e+00 3.973701602561082069e+00 3.117331496561516424e+00 2.817165641192635128e+00 2.730946035962608320e+00 -1.810719171400686258e-38 0.000000000000000000e+00
3.239095944899870351e+36 3.877584254934034619e+35 2.793089372264715898e+26 3.229803919588749856e+07 2.757998508452791597e+00 3.648732997365611297e-01 7.448869121681278571e-02 1.072256470771363546e+00 2.357984735631033502e+00 -1.801656362043516440e-38 0.000000000000000000e+00
2.954223170888968438e+36 8.908022556830915803e+35 3.550500307882748240e+26 3.564527459588851035e+07 2.435112814623860089e+00 2.806687845981202134e+00 9.827425521754435955e-01 1.561627771467615444e+00 2.629043521963540631e+00 -1.781799835861627744e-38 0.000000000000000000e+00
2.850291714321213234e+36 8.959666970643786128e+35 2.790829099571194554e+26 3.013987474331948161e+07 2.311477215880314295e-01 1.452544796116528092e+00 2.118334364826560456e+00 6.774457344511526369e-01 4.255644469999865009e+00 -1.772195103379125792e-38 0.000000000000000000e+00
3.663975251767212369e+36 7.729337909050401140e+35 3.141092182000704867e+26 3.408690002025292814e+07 3.432468701965665225e-01 1.580547208776516221e+00 1.680315472573683300e+00 2.187465082469482791e+00 4.853077734199904292e+00 -1.754525360714053914e-38 0.000000000000000000e+00
3.207394553240864051e+36 7.221371938944381956e+35 3.679697307354480171e+26 3.641634103570844233e+07 3.180539947361412656e-01 4.189082108958078976e+00 9.789975771045069664e-01 1.152044577172964157e+00 2.402604523898629107e+00 -1.751738040700114760e-38 0.000000000000000000e+00
2.020007342897891961e+36 9.752703312097781057e+35 3.608813237621806626e+26 3.708706932737985998e+07 2.272108102852921974e+00 2.412132303044337789e+00 9.908751840758560636e-01 1.898253881092192952e+00 2.316004709668881389e+00 -1.749277300596286939e-38 0.000000000000000000e+00
3.126429766595869323e+36 7.048602212746994914e+35 3.644017770555854251e+26 3.389745070247132331e+07 3.068042255297959819e+00 2.591823103806733641e+00 2.805964280153148138e+00 2.346267559423475646e+00 5.212668602370413851e+00 -1.690226717652638074e-38 0.000000000000000000e+00
2.949979388692357726e+36 8.573411521556709344e+35 3.674793330240485608e+26 2.859743954388672858e+07 4.806701235997516697e-03 6.189880699153659016e+00 2.780634108904209700e+00 2.204415441625194649e+00 2.993373412895864671e+00 -1.684942224031705633e-38 0.000000000000000000e+00
2.282344770871667700e+36 7.317598600218229994e+35 3.024723319981341482e+26 3.000292092454290390e+07 4.094604491387857093e-01 3.915019436917323681e+00 4.831324453557039322e-01 2.339669150573304268e+00 1.377544947675663600e+00 -1.646729011315289894e-38 0.000000000000000000e+00
3.858572372415547535e+36 5.366216892434530471e+35 3.310241310837992328e+26 3.013478960200961307e+07 2.223682376319940257e+00 2.589870989367907939e+00 2.977819552553431670e+00 1.412811914494975785e+00 5.112401702244967261e+00 -1.636933916121096157e-38 0.000000000000000000e+00
3.590998504288001872e+36 8.123600743062240443e+35 3.147250636520123317e+26 3.393084358737419546e+07 1.485102083720302724e-01 5.665125301930528323e+00 1.197544267139307506e+00 4.186455387185767929e-01 5.814653043434682367e+00 -1.632793697215366336e-38 0.000000000000000000e+00
3.265554348367056402e+36 8.308671375243185555e+35 3.673356893935012029e+26 3.339892181461467966e+07 2.642539455941902204e+00 4.508742224352042527e+00 2.265999564436540936e+00 2.410710196455718712e+00 1.355800085887137518e+00 -1.624680949247944479e-38 0.000000000000000000e+00
2.689705119555455233e+36 6.024583472032866220e+35 3.231065604938484029e+26 3.754470690657823533e+07 1.292013997652909363e-01 8.079510675505375827e-01 9.816958624903997510e-01 2.514225299004645642e+00 1.667076346060824443e+00 -1.623813732447087305e-38 0.000000000000000000e+00
2.215751989540320405e+36 6.632543827162956987e+35 3.423608946774445357e+26 3.569934786345007271e+07 2.712479886704967758e+00 1.937964207826811780e+00 2.078574562249919655e+00 1.843655835195889825e+00 1.996256234293994236e+00 -1.620261389006643971e-38 0.000000000000000000e+00
3.612134217698250342e+36 6.514959772632388107e+35 3.533495563876525681e+26 3.743057398736050725e+07 2.608246391370646400e+00 1.189337646822241634e-01 7.024557780327445045e-02 1.442582595015522218e+00 5.086952979990222445e+00 -1.616075786913214496e-38 0.000000000000000000e+00
3.461737385528476390e+36 5.610531986520568088e+35 3.322439689327389408e+26 3.485170677709890902e+07 3.115975623908219472e+00 2.086339665711328006e+00 2.836107671846473721e+00 8.935186890664239545e-01 5.896369060809427687e+00 -1.607065296639568207e-38 0.000000000000000000e+00
2.323263135382199775e+36 5.071971400957203207e+35 2.943160537703495632e+26 3.631073212443142384e+07 2.987701038174928492e+00 1.400061812746908663e+00 4.696164469393426799e-02 1.529121706707180950e+00 4.776974900390692724e+00 -1.605062807860970870e-38 0.000000000000000000e+00
2.734216282572506441e+36 7.050070331332036101e+35 3.682664619918200078e+26 3.245949389929994196e+07 2.807212188565797462e+00 4.344633892325625801e+00 1.396127994238951509e+00 1.390090027704827813e+00 1.492552533339397414e+00 -1.584626692276450346e-38 0.000000000000000000e+00
2.093483639988028294e+36 7.973277266299799419e+35 3.543031658640196446e+26 3.420627151627340168e+07 2.933436811582217807e+00 1.780446442191934375e+00 1.044801143567550605e+00 1.695261279389339570e+00 1.336531676519173040e+00 -1.557327535506679672e-38 0.000000000000000000e+00
2.222678188122548535e+36 8.392537924996868227e+35 3.330207273291819608e+26 3.372552749479810148e+07 4.741535523977954969e-01 4.899811222994699733e+00 1.248296240440909699e+00 1.225299655078761374e+00 2.808396145048166037e+00 -1.552385250070056914e-38 0.000000000000000000e+00
3.108502219806581894e+36 9.855456041646281071e+35 3.671925417148165201e+26 3.389954138805429637e+07 2.805912518445032866e+00 1.275856393595854454e+00 1.858897804955483180e+00 8.538556925868282521e-01 6.161378578061831313e+00 -1.550134943894723911e-38 0.000000000000000000e+00
2.017394362028535331e+36 7.881560780093106191e+35 3.312703572686211000e+26 3.233363508287915960e+07 8.648435254229869251e-01 4.866434999504818393e+00 2.073162147247399556e+00 1.606183588401135065e+00 1.821918914268968015e+00 -1.550063091265267395e-38 0.000000000000000000e+00
2.693071847351330262e+36 8.649522781198735265e+35 2.784976922178652633e+26 3.422189300746913999e+07 4.012532338716678915e-01 3.173987581017872817e+00 5.394088736685392904e-02 1.033954283048542422e+00 6.253578498013704134e+00 -1.545486458345141869e-38 0.000000000000000000e+00
2.364964541352835612e+36 5.841677309676098826e+35 2.886370925672835057e+26 2.995327163621009886e+07 3.043366636139785086e+00 2.921912778474065941e+00 2.898655154734887773e+00 1.159058149161687146e+00 1.310973635709296481e+00 -1.545255382509368074e-38 0.000000000000000000e+00
3.166754510778849024e+36 8.928838339237524232e+35 2.865624196862035938e+26 3.750369728767011315e+07 1.031277140200772324e+00 3.219951004981131959e-01 2.172774948802427719e+00 6.446703819784225242e-01 5.179904556107321589e+00 -1.523170391852114968e-38 0.000000000000000000e+00
